measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
11,5,83,<music21.chord.Chord C#5 F#6>,"[0, 5]","[1, 6]",Part_Fuer_Alina.mxl,Part
12,1,87,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
12,2,88,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
12,3,89,<music21.chord.Chord B3 D5>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
12,4,90,<music21.chord.Chord D4 E5>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
13,1,94,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
13,1 1/3,95,<music21.chord.Chord D4 F#5>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
13,1 2/3,96,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
14,1,100,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
14,2,101,<music21.chord.Chord B3 D5>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
15,1,105,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
15,1 1/3,106,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
15,1 2/3,107,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
